Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2010-12-20,73.95,73.95,15.0,19.75,18.2348120788,4820212.0,6815.0,87895660.0,4820212.0,100.0,58.95,-54.2
2010-12-21,20.7,20.7,18.8,20.7,20.1921653629,553159.0,711.0,11169478.0,553159.0,100.0,1.9,0.0
2010-12-22,21.7,21.7,21.7,21.7,21.6999868508,38025.0,126.0,825142.0,38025.0,100.0,0.0,0.0
2010-12-23,22.75,22.75,22.75,22.75,22.75,730480.0,983.0,16618420.0,730480.0,100.0,0.0,0.0
2010-12-24,23.85,23.85,23.5,23.85,23.8466907822,294692.0,508.0,7027429.0,294692.0,100.0,0.35,0.0
2010-12-27,25.0,25.0,25.0,25.0,25.0,56183.0,121.0,1404575.0,56183.0,100.0,0.0,0.0
2010-12-28,26.25,26.25,26.25,26.25,26.25,48716.0,102.0,1278795.0,48716.0,100.0,0.0,0.0
2010-12-29,27.55,27.55,25.05,27.55,27.1451083153,1284537.0,2916.0,34868896.0,1284537.0,100.0,2.5,0.0
2010-12-30,28.7,28.9,26.2,26.55,27.9852638672,1347572.0,3894.0,37712158.0,1347572.0,100.0,2.7,-2.15
2010-12-31,27.85,27.85,25.25,27.75,27.1211080848,524292.0,1610.0,14219380.0,524292.0,100.0,2.6,-0.1
2011-01-03,31.7,32.4,28.6,29.75,30.5247136865,3261634.0,10304.0,99560444.0,1204830.0,36.94,3.8,-1.95
2011-01-04,30.75,30.95,28.1,29.1,29.3479334225,1195358.0,3851.0,35081287.0,469702.0,39.29,2.85,-1.65
2011-01-05,29.8,29.8,27.35,27.65,28.1247515444,791389.0,2906.0,22257619.0,331271.0,41.86,2.45,-2.15
2011-01-06,27.8,27.8,25.35,25.8,26.0389622139,1204834.0,4074.0,31372627.0,468270.0,38.87,2.45,-2.0
2011-01-07,26.0,26.8,24.7,24.9,25.5599193267,1050162.0,3899.0,26842056.0,362884.0,34.56,2.1,-1.1
2011-01-10,25.05,27.65,25.05,25.55,25.912395634,1212919.0,4140.0,31429637.0,469081.0,38.67,2.6,0.5
2011-01-11,26.0,27.25,25.0,25.35,25.9447507818,728137.0,2652.0,18891333.0,294585.0,40.46,2.25,-0.65
2011-01-12,25.9,26.25,25.25,25.85,25.7618634158,458384.0,1523.0,11808826.0,199312.0,43.48,1.0,-0.05
2011-01-13,26.7,26.9,24.3,24.8,25.4266247977,806962.0,2680.0,20518320.0,329267.0,40.8,2.6,-1.9
2011-01-14,24.8,25.0,22.9,23.05,23.9526465896,596768.0,2111.0,14294173.0,286067.0,47.94,2.1,-1.75
2011-01-17,22.0,23.15,21.55,21.85,22.3473011719,479912.0,1853.0,10724738.0,258256.0,53.81,1.6,-0.15
2011-01-18,22.0,24.8,20.6,23.85,22.8181939345,1733193.0,4595.0,39548334.0,549269.0,31.69,4.2,1.85
2011-01-19,24.25,27.3,23.45,26.7,25.5489400829,2075068.0,5869.0,53015788.0,571561.0,27.54,3.85,2.45
2011-01-20,26.9,26.9,25.5,25.95,26.1446325103,1221558.0,3739.0,31937185.0,319474.0,26.15,1.4,-0.95
2011-01-21,26.25,27.5,25.85,26.5,26.9427754577,1223164.0,3844.0,32955433.0,352545.0,28.82,1.65,0.25
2011-01-24,26.7,27.2,26.05,26.25,26.5828738763,553552.0,1907.0,14715003.0,206910.0,37.38,1.15,-0.45
2011-01-25,26.75,26.95,25.65,26.05,26.4185221476,465378.0,1520.0,12294599.0,169002.0,36.31,1.3,-0.7
2011-01-27,26.5,26.55,24.5,24.8,25.2842827566,610037.0,2044.0,15424348.0,245690.0,40.27,2.05,-1.7
2011-01-28,24.95,24.95,23.0,23.4,23.5145801132,587444.0,1876.0,13813499.0,244654.0,41.65,1.95,-1.55
2011-01-31,21.55,23.25,21.15,22.9,22.7563020465,672956.0,1880.0,15313990.0,264649.0,39.33,2.1,1.35
2011-02-01,23.1,23.1,21.75,21.95,22.3621390477,539268.0,1745.0,12059186.0,214937.0,39.86,1.35,-1.15
2011-02-02,22.25,23.3,21.9,22.05,22.3497354746,660239.0,2088.0,14756167.0,182588.0,27.65,1.4,-0.2
2011-02-03,22.2,22.7,21.8,22.3,22.3323862646,373081.0,1212.0,8331789.0,143668.0,38.51,0.9,0.1
2011-02-04,22.5,23.2,21.55,21.85,22.464581409,597624.0,1808.0,13425373.0,215999.0,36.14,1.65,-0.65
2011-02-07,22.15,22.75,21.85,22.0,22.2786205831,310537.0,993.0,6918336.0,106994.0,34.45,0.9,-0.15
2011-02-08,22.1,22.2,20.35,20.5,21.2560354269,525025.0,1418.0,11159950.0,210888.0,40.17,1.85,-1.6
2011-02-09,20.05,20.15,18.65,18.9,19.4097546059,797941.0,3072.0,15487839.0,227648.0,28.53,1.5,-1.15
2011-02-10,18.75,19.0,18.0,18.5,18.4976220062,457108.0,1558.0,8455411.0,152121.0,33.28,1.0,-0.25
2011-02-11,18.7,21.7,18.3,21.15,19.9767100994,779136.0,2773.0,15564574.0,233694.0,29.99,3.4,2.45
2011-02-14,21.9,22.5,21.55,22.2,22.0513626736,427762.0,1719.0,9432735.0,160906.0,37.62,0.95,0.3
2011-02-15,22.45,22.45,21.4,21.55,21.8516467833,360855.0,1213.0,7885276.0,83707.0,23.2,1.05,-0.9
2011-02-16,21.5,21.8,21.25,21.35,21.4985051418,249522.0,969.0,5364350.0,73749.0,29.56,0.55,-0.15
2011-02-17,21.9,25.6,21.9,25.55,24.5504720542,3489218.0,8798.0,85661949.0,835099.0,23.93,3.7,3.65
2011-02-18,26.65,26.65,23.2,23.55,24.6978412934,2491214.0,6727.0,61527608.0,631996.0,25.37,3.45,-3.1
2011-02-21,23.9,24.3,21.75,23.75,22.9322719105,1394606.0,4091.0,31981484.0,300890.0,21.58,2.55,-0.15
2011-02-22,23.4,25.55,23.3,24.65,24.6283376693,1876534.0,5508.0,46215913.0,287577.0,15.32,2.25,1.25
2011-02-23,24.95,25.8,24.3,24.6,24.9475311549,945037.0,2967.0,23576340.0,261087.0,27.63,1.5,-0.35
